 WAVE HEIGHT COMPUTATIONS FOR FLOOD INSURANCE STUDIES (WHAFIS VERSION 4.0G, 08_2007)
 Executed on: Mon May 11 15:31:26 2020
 Input file:  C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Biddeford\3_whafis\whafis4\YK-121.dat                                            
 Output file: C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Biddeford\3_whafis\whafis4\YK-121.out                                            
                                                              header                                                                
                                                     THIS IS A 100-YEAR CASE
                                       THE FOLLOWING NON-DEFAULT WIND SPEEDS ARE BEING USED
                                            WINDIF  56.14  WINDOF  56.14  WINDVH  60.00
                                                             PART1 INPUT
          OF   1986.000    -12.431      0.000      9.063      0.000      0.000      0.000      0.000     -0.062      0.000
          OF   1987.000    -12.492      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
          OF   1988.000    -12.553      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
          OF   1989.000    -12.614      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
          OF   1990.000    -12.675      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
          OF   1991.000    -12.736      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
          OF   1992.000    -12.797      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
          OF   1993.000    -12.858      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
          OF   1994.000    -12.919      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
          OF   1995.000    -12.980      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
          OF   1996.000    -13.041      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
          OF   1997.000    -13.102      0.000      9.063      0.000      0.000      0.000      0.000     -0.060      0.000
          OF   1998.000    -13.162      0.000      9.063      0.000      0.000      0.000      0.000     -0.060      0.000
          OF   1999.000    -13.223      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
          OF   2000.000    -13.284      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
          OF   2001.000    -13.345      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
          OF   2002.000    -13.406      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
          OF   2003.000    -13.467      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
          OF   2004.000    -13.528      0.000      9.063      0.000      0.000      0.000      0.000     -0.061      0.000
